x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15;x16;x17;x18;x19;x20;x21;x22;x23;x24;x25;x26;y;x27;x28;x29;x30;x31;x32;x33;x34;x35;x36;x37;x38;x39;x40;x41;x42;x43;x44;x45;x46;x47;x48;x49;x50;x51;x52;x53;x54;x55;x56;x57;x58;x59;x60;x61;x62;x63;x64;x65;x66;x67;x68;x69;x70;x71;x72
1264667,721;26849;7395;1276;206;1786;593;1004;8997;3160;2432;499;22174;3941;222;13;59606;5928;46527;1206;4984;961;54115;4984;506;7650;93,22985477;94,59198722;92,63731904;90,04405981;70,28219743;93,65719616;113,001805;91,96455022;89,86062636;142,3106342;1069834;635920;423583;10331;540392;79200;64391;14809;1473;53062;26529;7469;13996;5068;50898674;558004;35694268;2257591;1059485;8749721;1901543;91,34986488;66241,58782;141,9058423;246113,307;975988;995573;369943;36752;159232;862573;534735;415021;8252;90536;2831954;427,9508319
1364076,032;36137;6179;1595;97;1060;604;941;6939;15027;3695;310;19829;15715;259;24;61028;5529;44001;955;5205;2128;54251;5205;977;6935;100,526242;92,10913912;103,144783;101,9173747;91,35933009;96,84280364;114,730292;105,009529;87,33055723;145,3410436;1072705;689339;378857;4509;622755;73885;61043;12842;1233;52005;19524;3558;24252;4671;62980798;712438;45409780;2572883;1467700;9872819;2219033;92,1230985;66886,29756;141,9058423;246113,307;1233483;832427;534005;33381;291714;850127;460429;463640;7258;86172;2880222;392,0984242
1438264,313;26309;3315;1066;31;587;983;925;6637;9618;3147;283;15407;10278;315;26;66799;4551;35103;1458;5028;2539;60459;5028;860;7079;100,2024615;92,57093605;95,60256642;106,0124231;96,2880863;96,51850715;108,4994282;98,77860136;94,81175156;147,5534162;1075444;585165;478561;11718;639611;67491;56461;11030;1210;93199;22551;12336;17865;40447;75457728;807806;50034957;2791645;1762093;16112860;3192495;88,72586043;64591,08866;140,8922292;246264,2618;1275308;836587;327286;28645;247743;842980;613838;407334;7124;91396;2783289;371,2401794
1384207,888;15525;2158;1051;47;211;490;553;5072;3917;2026;173;10600;4481;250;21;26251;925;9348;1317;4756;934;20714;4756;781;6275;92,79014339;78,67897;95,52198454;102,7119068;66,33109049;84,77917933;88,01645553;100,7559367;97,21387308;148,5407811;1203569;774328;419977;9264;663142;64705;56095;8610;914;119290;77133;31757;8405;1995;85719091;1340963;56537753;2964694;1797162;18185202;4137132;95,23054818;70029,02748;140,8922292;246264,2618;1081906;935659;401937;36634;255988;871720;489579;400278;7338;94250;3018225;398,7287319
1433958,827;5608;0;0;151;0;0;624;0;2840;1993;134;1631;3645;168;30;15617;1153;8375;1183;4363;543;10783;4363;471;7893;97,3416262;94,70247501;101,67507;93,93127134;102,0347883;82,90478774;90,0121159;92,2755137;100,881113;148,8929559;1458481;742249;703383;12849;586868;134013;125366;8647;1885;85561;31889;7484;42214;3974;95471636;1764486;62989570;3348574;1856768;19705474;5050580;89,68946494;66316,71369;140,8922292;246264,2618;1231673;1040913;488160;39345;385844;858203;472828;555711;9393;90910;3004515;425,8110671
1261710,99;3223;0;0;26;0;0;530;135;1263;1269;295;885;1903;106;34;80;0;80;0;0;0;80;0;0;7523;94,97599686;93,02958396;93,39990998;92,18035301;102,7524116;80,10567875;97,36010396;91,53418937;109,8362695;150,0434515;1226286;661786;546683;17817;565622;93420;83202;10218;1406;52975;29877;9805;4478;8815;106093104;2142652;70177797;3706836;1868814;21638818;5801297;94,7324872;70045,30363;142,9194555;247886,7759;1186013;1075749;431835;91885;188802;823404;742320;507236;8616;92252;3316263;384,5763403
1127752,729;4958;0;0;151;0;2;1149;1;1519;2136;1398;1399;2039;99;23;23352;0;3522;912;0;2851;22826;0;526;6642;94,77710295;97,89862515;97,7623479;81,18464955;104,3321102;87,48333564;101,2888775;112,1121436;93,81380942;147,8002241;1048796;518394;514310;16092;622369;86814;76865;9949;1564;108568;23693;3541;18181;63153;118544116;2583143;78838992;4483560;1905293;23473687;6502485;98,18763397;72600,08269;142,9194555;247886,7759;1280793;1088025;422982;64465;398723;882489;546933;540673;8425;100176;3705954;339,7629476
1199054,918;72753;11282;6065;0;1852;4494;1413;45289;84;2274;1384;70564;627;150;28;11742;45;3043;1197;0;1738;11574;0;168;5075;97,68942693;88,95426347;94,92324639;104,4925715;95,18379508;78,48440307;110,1339614;101,1732286;97,61278578;145,0709457;1042531;429544;589962;23025;596622;80602;66192;14410;1534;53362;26229;2780;20726;3627;129872757;3516775;88139244;4594396;2146610;23953435;6765341;92,47624797;68563,96385;143,9330686;250002,1425;1142695;875748;387133;40166;287888;784522;515972;430061;6840;87544;3595181;393,3822063
1062064,142;24941;255;4276;0;1307;917;1473;11741;1435;3537;2261;20364;2191;100;25;30484;154;25606;722;5;1331;30268;5;211;6716;100,7362004;81,66790166;103,1476968;111,169263;96,65320013;99,12797384;107,0080197;96,50579433;97,55226299;140,3011518;1204647;625971;558546;20130;553482;107085;91821;15264;1935;83795;39452;8827;30470;5046;150320845;7362869;99427114;5781896;2266942;27198756;7501786;119,9387042;88112,15664;144,9466818;250651,948;1437928;840413;246145;46730;251369;940578;564292;522102;8888;98080;4016545;410,5716028
963393,828;15709;0;0;7912;0;6;1755;0;1265;4771;3561;9830;2196;92;30;17121;631;9055;770;5741;924;11128;5741;252;6348;84,85350816;45,60926064;90,8768387;103,4141254;102,8010514;80,33940194;92,78798514;81,3024595;78,44634896;136,855292;1247665;563764;649074;34827;554115;134935;125883;9052;2008;38599;16890;3915;15712;2082;3915040;36504;3351933;405122;0;121481;0;89,94227584;66683,99838;145,960295;252281,4601;1348327;1061742;433640;38710;264305;934301;687914;523549;9417;101820;4609186;398,6221914
1000879,384;15309;0;0;0;0;0;3213;0;9784;2312;1293;3475;10429;97;15;19568;31;3974;671;4847;2513;14475;4847;246;5405;83,73208132;44,86594219;92,19258829;97,96696405;87,41265743;77,39589501;108,85544;106,3459287;84,0090474;133,6435012;1221964;639864;558962;23138;500718;115096;103526;11570;1746;40099;25478;1980;8562;4079;13487034;410666;10682150;866732;62320;659674;805492;88,07560922;65552,70888;144,9466818;251671,6427;1036256;906557;371488;31825;217245;795545;433163;496860;6530;87690;4515342;373,2072659
1115842,389;239502;12810;31968;73;10673;9171;2537;158174;12282;1814;927;225673;12827;60;15;48643;3387;37946;1137;4621;1051;43367;4621;655;7680;96,79169749;88,44687895;103,0135306;96,58222636;76,41074075;96,68948288;126,2695206;83,70823911;99,6138216;130,5186115;1238119;756640;459527;21952;524607;173052;160584;12468;2614;46722;20437;9740;10168;6377;25062626;889876;19694275;1311210;116570;1737796;1306399;97,1251879;72094,4631;144,9466818;251671,6427;1206587,09;884356;557359;39463;270779,171;926570,1;445010,819;448583;8241;90092;3951053;421,42173
1162038,21;70966;5343;12797;63;4264;4037;1770;26968;14071;1653;571;55863;14346;145;41;64555;5209;53221;1180;4266;679;59762;4266;527;6403;95,95034502;110,6327193;90,6612053;94,49574791;62,95204408;93,00622856;87,59029867;104,9850414;82,74409371;124,6027138;959403;630844;317012;11547;479993;118328;106679;11649;2085;31271;16443;5249;5823;3756;33261478;1961991;25694980;1840773;158090;2151996;1447048;96,11652201;71933,83117;143,9330686;251021,8372;1231028;812100;465700,935;30999;316558;811642;630388;284540;8612;74956;3666029;352,5050746
1304507,091;52768;5449;9769;185;3524;2742;587;19112;8970;2430;474;42495;9560;204;35;80342;2880;70305;1151;5026;933;74919;5026;397;6029;109,4935034;135,0872352;104,1923338;105,9257468;92,45695632;85,22950647;85,03384832;104,3993318;96,54796426;121,3929336;1016765;674608;326998;15159;548164;77485;66533;10952;1228;51507;33267;6283;11115;842;41914286;2704248;32014089;2195955;213416;2899922;1880056;90,76618263;67617,24876;144,9466818;251783,6091;1159493;1013469;395875;40280;209831;953813;566894;442424;10703;102442;3572551;391,4876705
1328315,943;31126;1221;956;144;4977;3704;47;8661;9607;1809;78;20621;10253;155;19;35338;532;27954;1022;5220;610;29657;5220;461;5519;102,3391238;107,3869399;100,6276764;105,1291743;103,2779374;84,33080447;77,47770176;102,1044219;100,3181193;119,7702535;1275904;739391;517716;18797;555289;229726;216330;13396;3798;68503;36441;9507;21465;1090;54306087;3496405;38238220;2861126;305407;6940465;2448720;91,38234771;68072,78206;144,9466818;251783,6091;1189765;946978;448127,207;43969;190974;833435;631825;480509;9620;84776;3335211;390,6956195
1196701,457;23974;1267;279;200;3626;2251;145;10520;4107;1579;38;18794;4910;203;29;48441;2488;38916;1476;4656;905;42947;4656;838;3990;102,7274922;109,5917415;101,0992319;98,84916551;102,585164;94,67682296;99,07084561;102,7212186;107,1185806;118,7934387;1427180;666878;741291;19011;608476;66827;55613;11214;1126;51924;26448;1316;23971;189;62071068;4162849;42727956;3574137;618445;7918793;3053144;94,92334985;71306,09705;144,9466818;251783,6091;1427558,26;1138895,355;359962,0341;46255,1588;399444,637;946295,7356;637686,443;583026,799;10966;97428;3835369;397,7092885
1309952,966;2952;0;0;106;14;0;485;0;453;1894;86;1379;1334;98;55;25484;600;19022;928;4508;426;20582;4508;394;4525;103,1430476;100,757127;97,93711511;108,7032011;99,99115586;92,37748469;83,37067071;101,1537681;157,2900381;117,6850139;1494014;672403;803827;17784;570371;111711;97779;13932;2151;51090;29704;6906;9027;5453;72519089;5617864;50005863;3991593;652337;8555736;3679680;92,23736357;69663,68388;144,9466818;251783,6091;1378675,951;1110628,639;413662,697;46109,431;316852,2612;1024018,081;713228,27;435205,978;11820;113962;3547355;498,5410736
1188802,976;3455;0;0;3;0;0;471;0;53;2928;1285;760;1219;79;112;4570;29;4462;0;79;0;4491;79;0;3342;93,4200523;77,53952369;93,98358689;100,1327415;101,8976705;93,64626794;95,9474531;106,002324;93,1784579;113,8518767;1249345;592477;635463;21405;509713;77851;63631;14220;1506;31155;12506;8504;8000;2145;86031765;7615454;58358676;4476751;673494;10728049;4163325;100,3381836;75305,2504;145,960295;255539,4845;1234385,151;1049726,418;452105,8596;34630,45132;301186,77;854154,1569;598131,712;530638,931;10018;91214;3813378;429,7406062
1273289,707;11297;1841;0;0;8;7;1683;3762;28;3968;2852;7409;921;57;58;14044;0;0;939;2;1979;14020;2;22;3414;85,78450123;65,72253051;94,56147838;83,5497013;81,28085052;97,01556232;108,3382612;107,6812632;106,3566605;111,9495675;1536283;341210;1172129;22944;498302;73588;62582;11006;1297;64098;35600;8696;18231;1571;97060773;9426988;65031791;4971037;821772;11844007;4948864;95,36036056;72051,04128;145,960295;255539,4845;1202091,794;870977,5003;522923,44;32146,79852;163178,61;859479,5695;664957,62;385453,495;7729;92310;3851271;400,4984964
1224150,149;39870;13962;81;0;334;71;900;18515;2726;3281;2250;34108;3259;107;146;6363;0;0;1414;2;2041;5991;2;370;3511;92,01719771;94,09027045;90,1963616;88,36124165;72,61432184;90,455578;117,0086792;105,1752038;104,8705671;108,8440086;1477277;123391;1330041;23845;498282;136295;125061;11234;2062;34563;26670;2071;4365;1457;110860595;10819367;74144042;5414404;917352;14075727;5425323;95,60214068;71995,64193;145,960295;255539,4845;965817,1793;668519,1672;479564,279;29483,75992;367012,5544;524092,3961;378395,79;364835,606;5635;58512;3794561;338,9699495
1048745,402;24783;4299;48;46;147;61;2139;6917;7350;3776;2308;14169;8097;184;25;16553;869;13721;997;120;846;16187;120;246;3209;98,16212407;110,2386079;92,43849589;89,63586477;91,58928686;106,8777366;108,9044155;103,7351218;99,0827797;104,3041518;1401391;458114;921109;22168;594706;104762;94597;10165;1538;28046;11765;3210;12167;904;142609547;19609001;93183634;6542847;1108873;15562256;6506135;126,3911937;94779,71669;145,960295;255539,4845;1471698,634;892260,8728;442846,703;41581,608;244199,7512;1069035,44;513882,05;536842,265;10288;110816;4306729;405,9818963
1063561,15;18521;0;39;7478;5;9;1675;0;5092;4223;2935;9411;5990;160;25;49390;5333;39894;850;2074;1239;47175;2074;141;2374;104,4223559;94,37197552;106,3895432;108,4509435;109,3042944;109,2228886;100,2739266;101,322595;97,52751723;103,309842;1589401;710722;841456;37223;569827;109676;99790;9886;1776;29366;15943;3103;7865;2455;127334;0;0;57286;70048;0;0;90,26912119;68237,97194;148;258132;1414565,924;1181049,105;561755,233;49287,018;310637,3207;936432,0409;903851,33;444694,337;9651;106382;4982730;524,5429898
984743,2237;18598;0;0;1401;0;0;3828;0;10552;2817;1661;5481;11296;123;37;84898;19108;49426;250;7809;1704;76701;7809;388;2121;94,33256208;102,5067369;100,790542;82,57072307;95,10347418;95,71698284;95,43050888;89,84130829;101,4287989;101,3241339;1265247;596868;642966;25413;609286;153490;142783;10707;2526;57677;37936;1703;14710;3328;4218769;308837;2229997;625954;186363;419509;448109;92,96086229;70300,57052;148;258132;1261263,488;857655,3242;553254,802;47099,2964;290708,274;851227,5739;481566,931;495416,033;6775;86940;4977560;481,6379341
